PLATE,CH_CODE,ENDO_DATE,CLIENT,CAR_MODEL,PLATE_NUMBER_NORMALIZED
DBA4658,01RBA2404-4,2024-04-03,ROB AUTO,2022 MITSUBISHI XPANDER CROSS AT,DBA4658
Y0V029,01RBA2404-4,2024-04-03,ROB AUTO,2022 MITSUBISHI XPANDER CROSS AT,Y0V029
Y2T418,01RBA2404-14,2024-04-17,ROB AUTO,2023  MITSUBISHI Strada GLS 2WD AT,Y2T418
T0S 964,01RBA2404-15,2024-04-17,ROB AUTO,2022 GEELY COOLRAY SPORT 1.5L AT,T0S964
F4T092,01RBA2404-16,2024-04-17,ROB AUTO,2022 NISSAN NAVARA 4X4 AT PRO 4X,F4T092
Z4F881,01RBA2404-18,2024-04-17,ROB AUTO,2023 TOYOTA Hilux 2.4 4X2 e DSL MT,Z4F881
K1 U300,01RBA2404-19,2024-04-17,ROB AUTO,2020 HYUNDAI H-100 2.5 CRDI GL 6 MT SHUTTLE BODY W/ DUAL AC,K1U300
E3Z472,01RBA2404-20,2024-04-17,ROB AUTO,2023 HONDA BR-V 1.5 S CVT,E3Z472
Y0Y840,01RBA2404-21,2024-04-17,ROB AUTO,2022 MITSUBISHI XPANDER CROSS AT,Y0Y840
C3 R724,01RBA2404-25,2024-04-17,ROB AUTO,2021 FORDTERRITORY1.5L TITANIUM AT,C3R724
E3G921,01RBA2404-27,2024-04-17,ROB AUTO,2022 HONDA BR-V 1.5 S CVT,E3G921
F4M203,01RBA2404-28,2024-04-17,ROB AUTO,2021 NISSAN NAVARA 2.5 4X2 VE CALIBRE AT,F4M203
EAD9855,03RBA2402-2,2024-02-25,ROB AUTO,Mitsubishi Xpander  GLS SPO WAGON 2019,EAD9855
EAD4529,03RBA2402-3,2024-02-25,ROB AUTO,Mitsubishi Xpander  GLS SPO WAGON 2019,EAD4529
K0X719,01RBA2404-32,2024-04-25,ROB AUTO,2019 HYUNDAI Accent 1.4 GL MT W/O SRS,K0X719
P6E827,01RBA2404-33,2024-04-25,ROB AUTO,2020 TOYOTA HIACE SG ELITE 2T,P6E827
205198,01RBA2404-36,2024-04-25,ROB AUTO,MITSUBISHI MIRAGE G4 GLX 1.2G CVT 2015,205198
MS4151,01RBA2404-38,2024-04-25,ROB AUTO,2017 HYUNDAI Accent 1.4E MT,MS4151
A3S713,01RBA2404-43,2024-04-25,ROB AUTO,2018 TOYOTA Hilux 2.4 4X2 G DSL AT,A3S713
NT2681,01RBA2404-48,2024-04-25,ROB AUTO,2017 MITSUBISHI Adventure GLS SPT 2.5D MT,NT2681
B4M537,01RBA2404-49,2024-04-25,ROB AUTO,2018 MITSUBISHI MIRAGE G4 G4 1.2G GLX MT,B4M537
K1H066,01RBA2404-52,2024-04-25,ROB AUTO,2019 HYUNDAI REINA 1.4 GL AT,K1H066
B3L152,01RBA2404-53,2024-04-25,ROB AUTO,2018 MITSUBISHI Montero SPT GLX 2.4D 2WD MT,B3L152
F1O402,01RBA2405-3,2024-05-20,ROB AUTO,2018 NISSAN Navarra NP300 2.5L EL CALIBRE A/T 4X,F1O402
P6J594,01RBA2405-7,2024-05-20,ROB AUTO,2020 TOYOTA Wigo 1.0 G AT,P6J594
M0 D821,01RBA2405-10,2024-05-20,ROB AUTO,2020 JEEP COMPASS LONGITUDE 1.4L MULTI AIR TURBO,M0D821
B5 S227,01RBA2405-11,2024-05-20,ROB AUTO,2019 MITSUBISHI MIRAGE G4 G4 1.2G GLX CVT (A/T),B5S227
C3N766,01RBA2406-1,2024-11-05,ROB AUTO,2021 FORD RANGER RAPTOR 2.0L 4X4 AT,C3N766
B4B900,01RBA2406-2,2024-11-05,ROB AUTO,2018 MITSUBISHI MONTERO SPORT GLS 2.4D 2WD A/T,B4B900
B8B078,01RBA2406-4,2024-11-05,ROB AUTO,2020 MITSUBISHI L300 C/C 2.2D MT-20MY FB BODY,B8B078
C3Z786,01RBA2406-5,2024-11-05,ROB AUTO,2022 FORD TERRITORY 1.5L AT ECOBOOST TITANIUM+AT,C3Z786
B7Y570,01RBA2406-6,2024-11-05,ROB AUTO,2020 MITSUBISHI MIRAGE G4,B7Y570
B9J170,01RBA2406-7,2024-11-05,ROB AUTO,2022 MITSUBISHI MIRAGE G4 G4 1.2G GLX CVT (A/T),B9J170
